country_code,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio
USA,24037,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24038,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24040,VA,Roanoke,37.2742,-79.9579,S,f,295.003097,T3,f,f,f,f,16.61437535653166,32.7,315.605,L,f,f,f,f,f,79.094913896676,82.97957549058872,73.68081698037645,f,f,f,f,f,f,f,98355,VS,1147.142857142857
USA,24043,VA,Roanoke,37.2692,-79.9399,S,f,293.426273,T3,f,f,f,f,45.3448275862069,31.6,315.605,M,f,f,f,f,f,92.20103986135182,98.44020797227036,88.83448873483536,f,f,f,f,f,f,f,98355,VS,1227.2727272727273
USA,24050,VA,Roanoke,37.5551,-79.7862,S,f,305.354723,T3,f,f,f,f,15.278575531303847,47.9,315.605,M,f,f,f,f,f,78.52272727272728,84.94318181818183,78.63920454545455,f,f,f,f,f,f,f,4856,VS,1016.5031222123104
USA,24063,VA,Blacksburg,37.2296,-80.4139,S,f,324.164844,T3,f,f,f,f,17.680347737831887,19.1,315.605,M,f,f,f,f,f,88.45519328053228,88.99598953252504,10.0,f,f,f,f,t,f,f,99101,VS,739.5085066162571
USA,24068,VA,Christiansburg,37.1548,-80.4184,S,f,319.863902,T3,f,f,f,f,21.96861626248217,41.0,315.605,M,f,f,f,f,f,91.38828142674006,91.43352688334213,86.05704697986576,f,f,f,f,f,f,f,33687,VS,1004.3901121167095
USA,24111,VA,Mc Coy,37.1742,-80.3957,S,f,319.375768,T3,f,f,f,f,21.96861626248217,41.0,315.605,M,f,f,f,f,f,91.38828142674006,91.43352688334213,86.05704697986576,f,f,f,f,f,f,f,33687,VS,1004.3901121167095
USA,24113,VA,Martinsville,36.6796,-79.8652,S,f,250.310263,T3,f,f,f,f,12.312408491947291,44.2,315.605,L,f,f,f,f,f,80.78802917512596,81.53244604857508,73.85156778705166,f,f,f,f,f,f,f,13658,VS,1142.8176795580112
USA,24114,VA,Martinsville,36.6796,-79.8652,S,f,250.310263,T3,f,f,f,f,12.312408491947291,44.2,315.605,L,f,f,f,f,f,80.78802917512596,81.53244604857508,73.85156778705166,f,f,f,f,f,f,f,13658,VS,1142.8176795580112
