#,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio
25684,21830,MD,Quantico,38.402020905090616,-75.72839420183722,,False,92.20676419762127,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25685,78245,TX,San Antonio,29.401070019003402,-98.73549444761474,,False,135.78755908355387,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25686,78250,TX,San Antonio,29.50344425103779,-98.66665996768324,,False,123.04508887527219,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25687,06092,CT,Weatogue,41.87266732739976,-72.86101583184048,,False,19.56858295177748,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25688,25214,WV,Chesapeake,38.18946305547639,-81.55122539199895,,False,19.191855319791227,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25689,42273,KY,Rochester,37.20126932591105,-86.85914308611615,,False,207.0655926855936,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25690,79560,TX,Sylvester,32.675137584719906,-100.20939934725918,,False,355.499851179578,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25691,95050,CA,Santa Clara,37.350396055923994,-121.95237516230257,,False,142.66835971710645,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25692,95051,CA,Cupertino,37.348300778959356,-121.98444144225654,,False,143.70716314263024,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25693,95054,CA,Santa Clara,37.39307928006167,-121.96482830165472,,False,138.43813445165304,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25694,95065,CA,Santa Cruz,37.032307240192715,-121.98443451219941,,False,177.5703320414371,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25695,95910,CA,Alleghany,39.46742847307029,-120.83160020868988,,False,113.93065554702706,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25696,95934,CA,Indian Falls,40.074632763910714,-120.93107690254125,,False,172.94258211309727,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25697,95937,CA,Dunnigan,38.88404538885373,-121.99847992021594,,False,55.16128068027969,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25698,95688,CA,Vacaville,38.419012394882564,-122.02571950536064,,False,49.64508416129373,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25699,95689,CA,Pine Grove,38.47089725698772,-120.61564828974295,,False,77.42734700742218,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25700,24486,VA,Weyers Cave,38.29365835935563,-78.92924817402641,,False,332.6185493478959,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25701,67954,KS,Rolla,37.179977980105235,-101.6117850762167,,False,559.1971825742895,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25702,95066,CA,Paradise Park,37.06720837682837,-122.0145300880934,,False,174.47861241641132,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25703,95073,CA,Capitola,37.040671497544615,-121.93173901985645,,False,175.59716876997402,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25704,78414,TX,Corpus Christi,27.65991128108739,-97.36901934412305,,False,292.1918324529644,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25705,78419,TX,Corpus Christi,27.696893401124917,-97.26880902110604,,False,289.5034015580287,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25706,95948,CA,Live Oak,39.342877331186514,-121.75822417100369,,False,87.66952646123977,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25707,95951,CA,Hamilton City,39.71472625585809,-122.00197118499273,,False,133.38311646163368,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25708,78501,TX,Pharr,26.215999132978528,-98.23910115413807,,False,453.0836658291881,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25709,78253,TX,San Antonio,29.46899926680031,-98.78884704715524,,False,134.33248278371448,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25710,78255,TX,San Antonio,29.64816236801806,-98.6640636857973,,False,112.29392209169174,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25711,83686,ID,Nampa,43.496430707617165,-116.61206850268023,,False,35.55531506723212,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25712,95110,CA,Santa Clara,37.346552255257876,-121.90969258148698,,False,142.07438814487648,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25713,27607,NC,Cary,35.8214138267933,-78.72697756498123,,False,9.258567980665676,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25714,78503,TX,Hidalgo,26.162290210873508,-98.25131891528429,,False,459.15129061968435,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25715,95970,CA,Princeton,39.41157910937543,-122.05175436181742,,False,104.10174965321913,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25716,95975,CA,Rough and Ready,39.22435405301399,-121.15367538405755,,False,77.31350079849595,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25717,95982,CA,Sutter,39.18048486478326,-121.8074930899784,,False,71.89631848874016,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25718,95693,CA,Wilton,38.39851152415967,-121.21956456344702,,False,31.410757694184884,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25719,78259,TX,San Antonio,29.62512249368337,-98.42030248764723,,False,96.71918147598402,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25720,78260,TX,San Antonio,29.697378725735458,-98.492133053956,,False,96.01641059415955,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25721,83540,ID,Sweetwater,46.34649722939104,-116.78273882583301,,False,307.13795211554145,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25722,74577,OK,Whitesboro,34.71967876341542,-94.85689416419883,,False,255.84752901422894,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25723,28450,NC,Lake Waccamaw,34.2968913793629,-78.5142465226977,,False,165.2553958029155,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25724,26541,WV,Morgantown,39.68179814907666,-80.07461605726249,,False,200.12995694529945,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25725,53808,WI,Dickeyville,42.63745672969033,-90.59203647351967,,False,108.48420275776442,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25726,01770,MA,Framingham,42.234153355545146,-71.3753302682013,,False,29.554205356864703,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25727,48721,MI,Lost Lake Woods,44.80445639478424,-83.34604730642863,,False,250.01548217308792,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25728,49822,,,46.450947747279706,-87.0281166907737,,False,,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25729,95695,CA,Davis,38.68845724402203,-121.8566617370115,,False,33.63423822212232,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25730,95698,,,38.818707289363694,-121.910124096676,,False,,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25731,95701,CA,Dutch Flat,39.22633522491188,-120.76740260581843,,False,95.37802205695412,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25732,67645,KS,Lenora,39.60143503578438,-99.89602673991139,,False,368.21826791322997,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
25733,19801,DE,Wilmington,39.72781739054336,-75.546146302894,,False,63.366084754391515,Unknown,False,False,False,False,,,,,False,False,False,False,False,,,,True,False,False,False,False,False,False,,,
