#,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio,missing_columns
5391,80463,CO,McCoy,39.955232751547975,-106.7388827725062,W,False,151.195284956237,T3,True,False,False,False,,65.9,315.605,H,False,False,False,False,False,100.0,100.0,97.0,False,False,False,False,False,False,False,55135.0,VS,138.0952380952381,literacy_rate
5392,920,,Guaynabo,18.41904958182,-66.09021576730113,UNKNOWN,True,,T3,True,False,False,False,28.6952931461602,46.2,315.605,L,False,False,False,False,False,76.46158129175946,80.86024498886414,71.88571826280624,False,False,False,False,False,False,True,89378.0,VS,85.96491228070175,state_original;region;distance_to_state_capital
5393,75651,,,32.67061069045486,-94.53063813258296,UNKNOWN,False,,T3,True,False,False,False,11.3997113997114,49.0,315.605,L,False,False,False,False,False,78.80239520958084,84.4311377245509,74.07185628742515,False,False,False,False,False,False,False,70155.0,VS,93.08565531475747,state_original;major_city;region;distance_to_state_capital
5394,99167,,,48.41307115654455,-118.11732720951802,UNKNOWN,False,,T3,True,False,False,False,10.738255033557047,54.8,315.605,M,False,False,False,False,False,90.1685393258427,85.1123595505618,83.35674157303372,False,False,False,False,False,False,False,48067.0,VS,130.42328042328043,state_original;major_city;region;distance_to_state_capital
5395,921,,Guaynabo,18.392060904231776,-66.08709511407774,UNKNOWN,True,,T3,True,False,False,False,21.86345314074572,42.1,315.605,L,False,False,False,False,False,72.9441131604493,78.81708500901401,69.76362501733462,False,False,False,False,False,False,True,89378.0,VS,82.57442116868799,state_original;region;distance_to_state_capital
5396,97357,,,44.739343880238046,-123.81592926938744,UNKNOWN,True,,T3,True,False,False,False,9.523809523809524,72.4,315.605,M,False,False,False,False,False,100.0,68.11594202898551,81.34057971014494,False,False,False,False,False,False,True,50964.0,VS,92.5,state_original;major_city;region;distance_to_state_capital
5397,794,,Barranquitas,18.19935508069601,-66.3117951098854,UNKNOWN,False,,T3,True,False,False,False,19.968987740466154,40.4,315.605,L,False,False,False,False,False,83.83633785699817,81.26392546080615,74.97690905408142,False,False,False,False,False,False,False,33998.0,VS,96.2217659137577,state_original;region;distance_to_state_capital
5398,99003,,,47.91996430268865,-117.27608618223036,UNKNOWN,False,,T2,True,False,False,False,14.39915299100053,50.5,315.605,M,False,False,False,False,False,92.19858156028369,95.25368248772504,87.71822149481724,False,False,False,False,False,False,False,549056.0,M,105.73139435414885,state_original;major_city;region;distance_to_state_capital
5399,70450,,,30.93667618179052,-90.2675454511176,UNKNOWN,True,,T3,True,False,False,False,15.42192046556741,37.5,315.605,M,False,False,False,False,False,75.89134125636672,87.94567062818336,78.63752122241087,False,False,False,False,False,False,True,136738.0,VS,88.57327307940606,state_original;major_city;region;distance_to_state_capital
5400,99009,,,48.0252975751318,-117.24993752558234,UNKNOWN,False,,T2,True,False,False,False,10.254797106008178,40.6,315.605,M,False,False,False,False,False,93.8517179023508,89.75286317058469,86.45418927064497,False,False,False,False,False,False,False,549056.0,M,105.6595162026472,state_original;major_city;region;distance_to_state_capital
5401,98821,,,47.5519863547016,-120.56154524340684,UNKNOWN,False,,T3,True,False,False,False,,38.2,315.605,H,False,False,False,False,False,100.0,100.0,97.0,False,False,False,False,False,False,False,80172.0,VS,99.0234375,state_original;major_city;region;distance_to_state_capital;literacy_rate
5402,72578,,,36.457339176584185,-91.87893844674126,UNKNOWN,False,,T3,True,False,False,False,11.11111111111111,58.0,315.605,,False,False,False,False,False,22.807017543859647,100.0,54.12280701754386,False,False,False,False,False,False,False,12302.0,VS,105.26315789473684,state_original;major_city;region;distance_to_state_capital;income_bucket
5403,99013,,,47.88497264579345,-117.8349529316108,UNKNOWN,False,,T3,True,False,False,False,4.82897384305835,35.3,315.605,L,False,False,False,False,False,80.3030303030303,82.95454545454545,74.15530303030303,False,False,False,False,False,False,False,11489.0,VS,115.1394422310757,state_original;major_city;region;distance_to_state_capital
5404,80453,CO,Idledale,39.664768728191056,-105.2428491593679,W,False,23.136735459567905,T2,True,False,False,False,34.71698113207547,35.7,315.605,,False,False,False,False,False,77.27272727272727,77.27272727272727,67.95454545454545,False,False,False,False,False,False,False,579377.0,M,149.57983193277312,income_bucket
5405,72030,,,35.43426135317646,-92.68003522546958,UNKNOWN,False,,T3,False,False,False,False,1.5789473684210529,25.6,315.605,,False,False,False,False,False,95.91836734693877,98.36734693877553,72.79591836734693,False,False,False,False,False,False,False,21054.0,VS,96.96969696969695,state_original;major_city;region;distance_to_state_capital;income_bucket
